name;address;desc
Moscow Kremlin;Red Square, 1;Ancient fortress, the political and spiritual heart of Russia, UNESCO World Heritage site.
Winzavod;4 Syromyatnichesky Lane, 1/8 building 6;Contemporary art center with galleries, exhibitions, and creative spaces.
Tretyakov Gallery;10 Lavrushinsky Lane;World-famous museum of Russian fine art, from icons to avant-garde.
Gorky Park;9 Krymsky Val;Main central park with sports facilities, cultural events, and modern art installations.
Bolshoi Theatre;1 Theatre Square;Legendary opera and ballet theatre, symbol of Russian culture.
VDNKh (Exhibition of Achievements of National Economy);119 Prospekt Mira;Giant exhibition complex with pavilions, fountains, and historical attractions.
Moscow Zoo;1 Bolshaya Gruzinskaya Street;One of the largest zoos in Russia, home to over 8000 animals.
Kolomenskoye Museum-Reserve;39 Prospekt Andropova;Former royal estate with UNESCO-listed Church of the Ascension and wooden palace.
GUM Department Store;3 Red Square;Historic shopping arcade, luxury brands and Soviet-era charm.
Arbat Street;Arbat Street;Famous pedestrian street with street musicians, souvenir shops, and cafes.
Cathedral of Christ the Saviour;15 Volkhonka Street;Grand Russian Orthodox cathedral, rebuilt after demolition in Soviet era.
Novodevichy Convent;1 Novodevichy Drive;16th-century convent, UNESCO site with beautiful cemetery and architecture.
Moscow Planetarium;5 Sadovaya-Kudrinskaya Street;Modern planetarium with interactive exhibits and star shows.
Moscow Metro (Komsomolskaya Station);Komsomolskaya Square;Stalinist architecture, chandeliers, mosaics – considered underground palaces.
Sparrow Hills;Sparrow Hills;Popular viewpoint overlooking Luzhniki Stadium and the city skyline.
Luzhniki Stadium;24 Luzhniki Street;Main Olympic stadium, home to Russian national football team.
Muzeon Art Park;2 Krymsky Val;Open-air sculpture museum with Soviet-era monuments and contemporary art.
Garage Museum of Contemporary Art;9/32 Krymsky Val;Leading contemporary art institution, housed in a Soviet modernist building.
Pushkin State Museum of Fine Arts;12 Volkhonka Street;Extensive collection of European art, ancient casts, and masterpieces.
Tsaritsyno Palace Complex;1 Dolskaya Street;18th-century palace and park, now a museum with fountains and greenhouses.
Neskuchny Garden;14 Leninsky Prospekt;Oldest park in Moscow, part of Gorky Park, with historical grotto and alleys.
Moscow International Business Center (Moscow-City);Presnenskaya Embankment;Skyscraper cluster with observation decks and modern architecture.
Kremlin Armoury;Red Square, 1;Treasure museum exhibiting Fabergé eggs, royal carriages, and coronation dresses.
Moscow Circus on Tsvetnoy Boulevard;13 Tsvetnoy Boulevard;Famous circus with acrobats, clowns, and animal performances.
Apothecary Garden (Botanical Garden);26/1 Prospekt Mira;Oldest botanical garden in Russia, part of Moscow State University.
Kuzminki Park;10 Kuzminsky Park;Large forest park with ponds, historical estate, and ecological trails.
Moscow Cable Car at Sparrow Hills;Sparrow Hills;Aerial tramway connecting Luzhniki to Sparrow Hills, offers scenic city views.
State Historical Museum;1 Red Square;Huge museum covering Russian history from ancient times to present.
Central Children's Store on Lubyanka;2/1 Teatralny Proezd;Historic department store for children, with interactive museum and carousels.
Krylya Sovetov (Soviet Wings) Stadium;47/3 Leningradsky Prospekt;Sports complex for football and athletics, also hosts events.
Moscow Botanical Garden of RAS;4 Botanicheskaya Street;Large botanical garden with greenhouses, arboretum, and flower displays.
Moscow Jewish Museum and Tolerance Center;11 Obraztsova Street;Modern museum about Jewish history, culture, and interactive exhibits.
Victory Museum on Poklonnaya Hill;3 Brothers Fonchenko Street;Grand military museum with WWII dioramas, weapons, and outdoor tank exhibition.
Moscow Art Theatre (MKHAT);3 Tverskoy Boulevard;Historic drama theatre founded by Stanislavsky and Nemirovich-Dan.
Equestrian Club "Izmailovo";Izmailovsky Highway;Indoor and outdoor riding school, horse shows.
Moscow State University Main Building;1 Leninskie Gory;Stalinist skyscraper, iconic university campus with observation deck.
Fili Park;5/1 Bolshaya Filyovskaya Street;Family park with ponds, playgrounds, and sports grounds.
